EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  58AA19940826,   GNS,     5,  1,      5,2,19940828, 66.0070,   2.6530, 1800,    401.7,   5.0846,  35.0330,2,-999.0000,9,    296.1,2,    296.1,2,     6.38,2,    12.52,2,     0.08,2,     0.99,2,   2134.8,2,   2340.8,3,   5.05226494
  58AA19940826,   GNS,     5,  1,      4,2,19940828, 66.0070,   2.6530, 1800,    602.1,   1.9469,  34.9325,2,-999.0000,9,    302.1,2,    302.5,2,     7.01,2,    13.67,2,     0.08,2,     1.01,2,   2152.4,2,   2365.5,3,   1.91252834
  58AA19940826,   GNS,     5,  1,      3,2,19940828, 66.0070,   2.6530, 1800,   1002.2,  -0.6411,  34.9055,2,  34.9080,2,    298.3,2,   -999.0,9,    10.29,2,    14.38,2,     0.08,2,     1.13,2,   2154.8,2,   2357.0,3, -0.680597206
  58AA19940826,   GNS,     5,  1,      2,2,19940828, 66.0070,   2.6530, 1800,   1304.7,  -0.8573,  34.9072,2,-999.0000,9,    300.8,2,    301.6,2,    11.52,2,    14.49,2,     0.08,2,     1.08,2,   2158.2,2,   2336.2,3,  -0.90996632
  58AA19940826,   GNS,     5,  1,      1,2,19940828, 66.0070,   2.6530, 1800,   1583.5,  -0.9341,  34.9069,2,  34.9090,2,    303.5,2,    303.8,2,    16.25,2,    14.61,2,     0.10,2,     1.11,2,   2160.7,2,   2341.4,3,  -1.00099661
  58AA19940826,   GNS,     6,  1,      6,2,19940828, 66.0000,   2.3220, 2000,    100.1,   6.9773,  35.1569,2,  35.1600,2,    285.4,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,   6.96797802
  58AA19940826,   GNS,     6,  1,      5,2,19940828, 66.0000,   2.3220, 2000,    398.0,   3.9262,  34.9791,2,  34.9790,2,    301.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,   3.89781534
  58AA19940826,   GNS,     6,  1,      4,2,19940828, 66.0000,   2.3220, 2000,    801.5,  -0.1095,  34.9008,2,  34.9020,2,    297.1,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9, -0.143146056
  58AA19940826,   GNS,     6,  1,      3,2,19940828, 66.0000,   2.3220, 2000,   1201.2,  -0.7162,  34.9082,2,  34.9090,2,    298.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9, -0.764958672
  58AA19940826,   GNS,     6,  1,      2,2,19940828, 66.0000,   2.3220, 2000,   1485.3,  -0.8434,  34.9092,2,  34.9090,2,    299.1,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9, -0.905935629
  58AA19940826,   GNS,     6,  1,      1,2,19940828, 66.0000,   2.3220, 2000,   1866.8,  -0.9177,  34.9090,2,  34.9090,2,    301.0,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,  -1.00149905
  58AA19940826,   GNS,     7,  1,     12,2,19940828, 66.0000,   1.7380, 2200,      4.3,  12.7249,  34.9641,2,-999.0000,9,    274.2,2,    276.0,2,     1.20,2,     0.11,2,     0.09,2,     0.43,2,   2033.9,2,   2345.0,2,   12.7243214
  58AA19940826,   GNS,     7,  1,     11,2,19940828, 66.0000,   1.7380, 2200,     12.5,  12.7164,  34.9661,2,-999.0000,9,    275.0,2,    276.9,2,     1.20,2,     0.06,2,     0.10,2,     0.45,2,   2033.7,2,   2335.6,2,   12.7147182
  58AA19940826,   GNS,     7,  1,     10,2,19940828, 66.0000,   1.7380, 2200,     50.9,   7.7430,  35.0838,2,-999.0000,9,    281.1,2,    281.0,2,     4.33,2,     8.61,2,     0.26,2,     0.96,2,   2113.2,2,   2334.9,2,   7.73798661
  58AA19940826,   GNS,     7,  1,      9,2,19940828, 66.0000,   1.7380, 2200,    101.2,   6.4928,  35.1269,2,-999.0000,9,    286.1,2,    284.8,2,     6.91,2,    11.96,2,     0.12,2,     1.09,2,   2134.8,2,   2330.0,2,   6.48375567
  58AA19940826,   GNS,     7,  1,      8,2,19940828, 66.0000,   1.7380, 2200,    201.9,   3.5139,  34.8931,2,-999.0000,9,    307.5,2,    306.0,2,     6.49,2,    10.80,2,     0.12,2,     1.06,2,   2142.8,2,   2337.2,3,   3.50050121
  58AA19940826,   GNS,     7,  1,      7,2,19940828, 66.0000,   1.7380, 2200,    401.3,   1.0275,  34.8992,2,  34.8980,2,    308.4,2,    305.1,2,     7.10,2,    11.60,2,     0.10,2,     1.17,2,   2153.2,2,   2327.8,2,   1.00830889
  58AA19940826,   GNS,     7,  1,      6,2,19940828, 66.0000,   1.7380, 2200,    602.2,  -0.0865,  34.8954,2,  34.8950,2,    305.5,2,    304.2,2,     7.90,2,    11.63,2,     0.12,2,     1.19,2,   2154.6,2,   2340.0,3,  -0.11080902
